Date,Open,High,Low,Close,Volume
28/08/2025 15:30:00,807.25,811,800.65,801.95,7898436
29/08/2025 15:30:00,800.7,806.7,798.5,802.5,6861440
01/09/2025 15:30:00,803.1,808.3,802.65,806.05,5619805
02/09/2025 15:30:00,806.3,810.5,802.65,803.9,5075460
03/09/2025 15:30:00,804.3,813.3,803,812.15,4261589
04/09/2025 15:30:00,814.65,816.75,808,809.4,4471950
05/09/2025 15:30:00,811.5,812.5,803.65,806.6,5194842
08/09/2025 15:30:00,808,813.85,806.8,808.8,4614227
09/09/2025 15:30:00,812,812.35,805.6,808.85,4567272
10/09/2025 15:30:00,812,824.6,810.4,818.2,7285853
11/09/2025 15:30:00,819.1,825.7,819,823.65,7425055
12/09/2025 15:30:00,824.1,825.8,819.8,823.55,5078018
15/09/2025 15:30:00,823.55,827.8,821.1,824.75,3852494
16/09/2025 15:30:00,825.1,833,821.65,831.55,9467531
17/09/2025 15:30:00,834.3,858.15,831,857.15,17243938
18/09/2025 15:30:00,858.65,860.8,851.1,854.35,10400847
19/09/2025 15:30:00,852,864.45,849.3,862.35,15206426
22/09/2025 15:30:00,862,868.2,854,855.25,6594034
23/09/2025 15:30:00,854.6,874.25,851.2,870.6,14357863
24/09/2025 15:30:00,876,880.5,864.45,866.2,12840160
25/09/2025 15:30:00,866.55,870.15,859.95,861.15,8678821
26/09/2025 15:30:00,862,864.35,853,856.95,6959545
29/09/2025 15:30:00,858.05,873.5,856,870.75,22641712
30/09/2025 15:30:00,869.95,877.6,867.6,872.45,12831593
01/10/2025 15:30:00,872.3,876.45,862.8,864.1,10832384
03/10/2025 15:30:00,865.15,873,863.8,867.3,8019442
06/10/2025 15:30:00,868,875.3,862.8,874.05,7820352
07/10/2025 15:30:00,874.15,877,863,864.7,9242580
08/10/2025 15:30:00,866.8,867.8,857.25,858.25,7156112
09/10/2025 15:30:00,861.6,865.8,858.1,862.1,7020501
10/10/2025 15:30:00,862.1,883.75,861.3,880.65,13713015
13/10/2025 15:30:00,879,888.1,876,882.95,11923143
14/10/2025 15:30:00,883,884.15,872.1,876.95,7681973
15/10/2025 15:30:00,878.1,887.5,877.05,886.1,8269225
16/10/2025 15:30:00,888.3,891.85,882.45,886.95,8493686
17/10/2025 15:30:00,887.5,894.75,883,889.15,8511854
20/10/2025 15:30:00,894.6,913.65,891.05,907.5,13546463
21/10/2025 15:30:00,908,910,906.4,907.85,1783576
23/10/2025 15:30:00,912,918,904.8,911.55,13382769
24/10/2025 15:30:00,910.95,914.1,900.95,904.5,5313227
27/10/2025 15:30:00,906.95,928,906,922.75,9150761
28/10/2025 15:30:00,927.1,935.85,917.7,930.25,22066289
29/10/2025 15:30:00,933.9,942.05,930.25,939.75,12314222
30/10/2025 15:30:00,939.45,944.9,933.05,934.35,13044473
31/10/2025 15:30:00,934.9,946.7,930.25,937,12078252
03/11/2025 15:30:00,938.75,953.4,937.5,949.7,11744735
04/11/2025 15:30:00,951,959.3,941.5,957.6,19154518
06/11/2025 15:30:00,969.65,971.4,955.3,960.75,23088096
07/11/2025 15:30:00,958.75,964.85,944,955.85,13371323
10/11/2025 15:30:00,956,963.2,949.1,951.15,7343249
11/11/2025 15:30:00,953.6,954.95,945.05,953.3,8648917
12/11/2025 15:30:00,957.7,961.55,951.4,957.15,7043323
13/11/2025 15:30:00,954.25,963.95,952.45,954,8894441
14/11/2025 15:30:00,952.95,969.05,952,967.85,11032927
17/11/2025 15:30:00,971,976,968.5,973.35,7415026
18/11/2025 15:30:00,975.6,976.7,968.85,972.45,6594686
19/11/2025 15:30:00,972.45,984.45,968.8,982.75,8291226
20/11/2025 15:30:00,986,986.6,979.35,981.55,6440857
21/11/2025 15:30:00,979.7,980.6,971.05,972.6,5377241
24/11/2025 15:30:00,975.55,977.7,968.05,970.6,9901946
25/11/2025 15:30:00,975.55,988.95,971.35,983.6,9140201
26/11/2025 15:30:00,986.6,999,982.15,983.9,13943490
27/11/2025 15:30:00,986.7,988.55,968.9,972.85,11909168
28/11/2025 15:30:00,976.8,983,973.05,979,8117842
01/12/2025 15:30:00,985.45,991.2,969.85,973.1,8808306
02/12/2025 15:30:00,976,980.45,964.9,967.3,13444314
03/12/2025 15:30:00,970.45,972.55,947.55,951.05,14051968
04/12/2025 15:30:00,951.05,952.55,944.45,948.1,13622724
05/12/2025 15:30:00,948.85,973.3,946.7,971.5,17347847
08/12/2025 15:30:00,970.85,972.5,951.7,956.4,15386438
09/12/2025 15:30:00,954.8,964,950.45,959.35,9580294
10/12/2025 15:30:00,960.1,963.95,955.25,959.75,6989178
11/12/2025 15:30:00,962.1,966.5,958.45,963.25,5979035
12/12/2025 15:30:00,966,967,958,963.15,5681930
15/12/2025 15:30:00,957.25,968.85,957.25,967.25,4416952
16/12/2025 15:30:00,966.05,969,958.05,961.15,4764786
17/12/2025 15:30:00,965.55,978.5,964.3,975.85,8013382
18/12/2025 15:30:00,977.9,981.45,973.5,977.55,4926879
19/12/2025 15:30:00,979.95,982,977.05,980.3,5376584
22/12/2025 15:30:00,981.1,983,972.55,974.3,5959037
23/12/2025 15:30:00,976.3,977.55,970.7,971.9,5123287
24/12/2025 15:30:00,973.2,977.3,967.5,968.95,4105643
26/12/2025 15:30:00,968.95,971,964.75,966.3,3286321
29/12/2025 15:30:00,966.9,968.9,961.45,965.05,5267233
30/12/2025 15:30:00,963,976.2,959.5,973.45,15030644
31/12/2025 15:30:00,975.25,985.65,973.5,982.2,5807630
01/01/2026 15:30:00,983.2,987.65,980.35,984.75,4328348
02/01/2026 15:30:00,984.5,1009.5,983.95,998.95,7357435
05/01/2026 15:30:00,1000,1015.5,1000,1005.55,11259060
06/01/2026 15:30:00,1007.95,1024,1004.95,1018.9,9575742
07/01/2026 15:30:00,1022.7,1022.7,1004,1007.15,7896720
08/01/2026 15:30:00,1006.6,1011.6,995.85,998,6854268
09/01/2026 15:30:00,996,1008,994,1000.5,7809460
12/01/2026 15:30:00,1008,1017.25,996,1015.15,7617922
13/01/2026 15:30:00,1022.8,1029.5,1016,1028.45,11016895
14/01/2026 15:30:00,1030,1030.4,1020.5,1028.35,7370514
16/01/2026 15:30:00,1032,1047.45,1028.4,1042.3,11051580
19/01/2026 15:30:00,1035,1043.6,1034,1038.4,5460164
20/01/2026 15:30:00,1039.75,1052,1033.05,1036.4,8905718
21/01/2026 15:30:00,1032,1040.6,1022,1028.65,7408949
22/01/2026 15:30:00,1035,1055.5,1034.05,1048.35,12001641
23/01/2026 15:30:00,1051.9,1053,1025.6,1029.5,10917698
27/01/2026 15:30:00,1034.1,1055,1030.25,1053.15,14420630
28/01/2026 15:30:00,1059.4,1065.6,1044.15,1063.5,12171257
29/01/2026 15:30:00,1063,1075,1060.3,1066.2,14800724
30/01/2026 15:30:00,1064,1082.5,1060.4,1077.15,9480769
02/02/2026 15:30:00,1019.9,1031.3,990,1028.7,14434549
03/02/2026 15:30:00,1087,1089.8,1040.3,1064.2,16129381
04/02/2026 15:30:00,1064.2,1073.9,1056.3,1068.2,7312276
05/02/2026 15:30:00,1068.2,1081,1067.5,1073.5,9551567
06/02/2026 15:30:00,1070,1073.6,1051,1066.4,7041557
09/02/2026 15:30:00,1120,1150,1100.5,1146,40852966
10/02/2026 15:30:00,1151,1154,1138.1,1144.1,17280036
11/02/2026 15:30:00,1144.7,1187.5,1142.8,1182.9,29491859
12/02/2026 15:30:00,1183,1203.7,1174.8,1192.4,33214985
13/02/2026 15:30:00,1189,1201,1184.5,1198.6,18141390
16/02/2026 15:30:00,1194,1212.3,1185.3,1208.1,14972739
17/02/2026 15:30:00,1206.1,1225.5,1204.1,1213.4,20107196
18/02/2026 15:30:00,1218.8,1224.1,1214,1218.9,10417264
19/02/2026 15:30:00,1222.9,1224.9,1199.2,1205.7,9630899
20/02/2026 15:30:00,1206.2,1218,1201.8,1216.1,9958162
23/02/2026 15:30:00,1222,1231.1,1217.1,1227.8,9733835
24/02/2026 15:30:00,1232,1234.7,1219.7,1223.3,15788449
25/02/2026 15:30:00,1228.1,1228.1,1197.5,1200.1,19581100
26/02/2026 15:30:00,1201,1215.4,1188.9,1209.5,16196052
27/02/2026 15:30:00,1207,1211.8,1198.6,1201.7,10700355
02/03/2026 15:30:00,1185,1197.3,1179.4,1189.9,16270835
04/03/2026 15:30:00,1172.1,1182.7,1157.6,1174.5,13855065
05/03/2026 15:30:00,1181,1183.2,1150.6,1169.5,22100665
06/03/2026 15:30:00,1168.5,1169.3,1138,1143,20333328
09/03/2026 15:30:00,1115,1115,1064.3,1098.5,24631198
10/03/2026 15:30:00,1111.1,1119.9,1104.5,1112.2,17491459
11/03/2026 15:30:00,1113.4,1115.9,1088,1091.1,8364878
12/03/2026 15:30:00,1075.1,1098,1070.5,1085.2,14614140
13/03/2026 15:30:00,1077.5,1081.3,1042.3,1047,15978675
16/03/2026 15:30:00,1048.7,1073,1036.1,1066.7,15322269
17/03/2026 15:30:00,1073.9,1073.9,1047,1064.7,16427877
18/03/2026 15:30:00,1067.5,1075.4,1061.3,1069.8,10749915
19/03/2026 15:30:00,1049.5,1059.7,1041,1048.9,13431191
20/03/2026 15:30:00,1058.4,1085,1054,1058,17748625
23/03/2026 15:30:00,1039,1045.6,1014.2,1031.9,16039603
24/03/2026 15:30:00,1055.2,1059,1020,1030.8,30416734
25/03/2026 15:30:00,1043,1065.5,1043,1060.6,16205333
27/03/2026 15:30:00,1051.3,1055.3,1013,1019.5,20445349
30/03/2026 15:30:00,1005,1009.4,975.8,979.4,21438137
01/04/2026 15:30:00,1008,1031,998.45,1017.8,17424479
02/04/2026 15:30:00,1000,1026,977.9,1018.4,20777629
06/04/2026 15:30:00,1020,1035.7,1005.05,1032.75,23576634
07/04/2026 15:30:00,1025,1033.7,1012,1030.4,15021291
08/04/2026 15:30:00,1074,1077.8,1059.45,1061.45,28533742
09/04/2026 15:30:00,1060.1,1064.35,1038.3,1040.95,24772948
10/04/2026 15:30:00,1049,1069.45,1046.15,1066.7,17861336
13/04/2026 15:30:00,1042,1067.25,1030,1063.55,17763348
15/04/2026 15:30:00,1076,1088,1068.2,1071.5,16195810
16/04/2026 15:30:00,1078,1084.15,1062,1067.15,20313165
17/04/2026 15:30:00,1067,1082.15,1060,1080.25,16823879
20/04/2026 15:30:00,1080.3,1120.95,1075.85,1107.85,31179584
21/04/2026 15:30:00,1113.4,1114.75,1105.95,1111.85,16963734
22/04/2026 15:30:00,1110,1117.85,1100.1,1103.3,12412659
23/04/2026 15:30:00,1095,1101.9,1082.2,1094.25,13669001
24/04/2026 15:30:00,1091.35,1106,1090.05,1101.1,13774745
27/04/2026 15:30:00,1110.95,1114.8,1103.4,1111.85,11624385
28/04/2026 15:30:00,1102.3,1110.5,1089.15,1091.3,10727835
29/04/2026 15:30:00,1094,1105,1084.25,1086.9,10611104
30/04/2026 15:30:00,1075,1077.7,1063,1068.45,14269539
04/05/2026 15:30:00,1063.6,1089.1,1063.6,1068.4,11693211
05/05/2026 15:30:00,1060.6,1068.5,1049.4,1059.9,12194631
06/05/2026 15:30:00,1072,1101.1,1061.2,1096,14384779
07/05/2026 15:30:00,1106,1108,1086.1,1092,16105163
08/05/2026 15:30:00,1090,1095,1010.9,1019.3,48065909
11/05/2026 15:30:00,1007,1007,971.1,973.6,46927396
12/05/2026 15:30:00,976.9,981.4,962.4,974.6,25787092
13/05/2026 15:30:00,978,981.2,961.2,970.1,17584580
14/05/2026 15:30:00,973.5,987,963.6,979.9,16487142
15/05/2026 15:30:00,971.2,972.5,957,963.2,26972493
18/05/2026 15:30:00,952,954.9,933.9,939.4,16554877
19/05/2026 15:30:00,942,956.6,939.5,948.8,17280869
20/05/2026 15:30:00,941.1,955,935,950.9,11928460
21/05/2026 15:30:00,957,960.9,946.5,950.9,11756520
22/05/2026 15:30:00,950.9,958.6,947.7,949.2,7807192
25/05/2026 15:30:00,959.9,972.5,957.5,969.6,10934747
26/05/2026 15:30:00,969.9,978.8,962.1,968.5,16269800
27/05/2026 15:30:00,969.8,975.9,966.6,967.8,8111259
29/05/2026 15:30:00,967.8,973.7,960.3,964.4,22292535
01/06/2026 15:30:00,966.25,970.25,950.1,954.1,11118975
02/06/2026 15:30:00,950.95,961.3,939.9,956.65,15911760
03/06/2026 15:30:00,953.75,974,937.2,970.45,27947005
04/06/2026 15:30:00,969.9,985.8,961.1,979.25,18875883
05/06/2026 15:30:00,980,992.6,970.6,977.7,20955539
08/06/2026 15:30:00,966,988.65,965.15,981.95,12895416
09/06/2026 15:30:00,985,1009,983,1002.7,22142480
10/06/2026 15:30:00,1002.7,1012.4,999.5,1003.25,19122317
11/06/2026 15:30:00,998.1,1009.4,993,1000.7,13773978
12/06/2026 15:30:00,1018,1018.7,1004.35,1017.15,11081119
15/06/2026 15:30:00,1034,1034,1018.5,1020.85,12463437
