Date,Open,High,Low,Close,Volume
28/08/2025 15:30:00,377.75,378.5,370.25,371.1,5704659
29/08/2025 15:30:00,371.1,375,368.5,374.15,5793121
01/09/2025 15:30:00,374.15,381,374.15,380.55,2169911
02/09/2025 15:30:00,380.9,388.4,380,386.05,3362410
03/09/2025 15:30:00,386.05,389.7,385.7,389.15,2628692
04/09/2025 15:30:00,390.05,392,381.75,382.6,4114491
05/09/2025 15:30:00,382.6,386.5,380.1,385.8,3358057
08/09/2025 15:30:00,385.8,387.8,382.6,383.25,2978303
09/09/2025 15:30:00,383.5,385.65,381.15,384.65,3129390
10/09/2025 15:30:00,386.8,390.95,386.05,386.5,4022433
11/09/2025 15:30:00,386.45,388.7,385.5,388.1,3078027
12/09/2025 15:30:00,388.2,389.8,384,386.25,3626792
15/09/2025 15:30:00,386,390.95,385.5,388,3837268
16/09/2025 15:30:00,388,399.8,388,396.05,10102211
17/09/2025 15:30:00,397.25,397.8,393.55,394.65,4229347
18/09/2025 15:30:00,395.05,397,390.1,393.1,3956999
19/09/2025 15:30:00,393.25,397.5,393.15,396.3,5457632
22/09/2025 15:30:00,396,399.9,394,395.3,4424464
23/09/2025 15:30:00,396.5,398.2,394.25,395.5,2963511
24/09/2025 15:30:00,394.5,396.4,389.2,390.3,3121538
25/09/2025 15:30:00,390.3,392.4,385.2,386,3091484
26/09/2025 15:30:00,386,387,382.2,383.8,3519702
29/09/2025 15:30:00,384.25,389.45,383.25,388.05,3592071
30/09/2025 15:30:00,388,392.05,386.1,388.65,3229139
01/10/2025 15:30:00,388.65,392.8,388.6,391.15,2705427
03/10/2025 15:30:00,392,395.5,390,394.9,4157330
06/10/2025 15:30:00,394.9,396.4,389.3,395.55,4190489
07/10/2025 15:30:00,395.5,397.5,391.25,392.5,5544502
08/10/2025 15:30:00,391.5,393.4,384.25,385.45,5286159
09/10/2025 15:30:00,386.8,389.65,381.5,388.2,5139999
10/10/2025 15:30:00,396,396.8,389.6,390.1,7725390
13/10/2025 15:30:00,388,392.05,385.25,391.15,4861965
14/10/2025 15:30:00,391.15,393.1,387.7,391.55,4978714
15/10/2025 15:30:00,391.55,397.3,391.3,396.5,4091897
16/10/2025 15:30:00,397,402.8,396.15,399,5611314
17/10/2025 15:30:00,399,400.5,394.55,397.8,4998891
20/10/2025 15:30:00,398.3,401,396.65,399.8,4130123
21/10/2025 15:30:00,400,401.2,397.55,398.8,712785
23/10/2025 15:30:00,398.85,403.85,396.15,397.65,5231732
24/10/2025 15:30:00,397.65,399.2,394,396.85,5032576
27/10/2025 15:30:00,396.9,401.75,395.65,400.25,2799280
28/10/2025 15:30:00,400.25,401.85,396.1,398.65,3949368
29/10/2025 15:30:00,399,412.4,398.7,410.7,10944400
30/10/2025 15:30:00,411.05,413.25,408.3,409.8,3782450
31/10/2025 15:30:00,409.6,409.9,404.5,404.9,5071291
03/11/2025 15:30:00,403.85,409.5,401.25,408.6,4166052
04/11/2025 15:30:00,407.5,408,398.55,400.6,6132035
06/11/2025 15:30:00,400.7,402.3,390.25,391.75,5024909
07/11/2025 15:30:00,390.95,394.4,386,393.2,4676601
10/11/2025 15:30:00,393.2,397.9,392.35,395.85,2906630
11/11/2025 15:30:00,395.8,396.4,390.05,395.6,3826554
12/11/2025 15:30:00,390,395.9,387.5,388.65,7856248
13/11/2025 15:30:00,389.4,392.7,385,388.8,5052456
14/11/2025 15:30:00,388.8,390,385.15,388.4,5263918
17/11/2025 15:30:00,388.5,393.4,388.5,392.75,6120004
18/11/2025 15:30:00,394,394,385.5,386.25,4583330
19/11/2025 15:30:00,386.95,389.75,384.2,389.1,3747191
20/11/2025 15:30:00,389.25,392,387,388.1,3477240
21/11/2025 15:30:00,388.05,390.2,385.7,387,4036922
24/11/2025 15:30:00,390,391.5,381.2,382.55,5819567
25/11/2025 15:30:00,383,383.65,379,380,4238096
26/11/2025 15:30:00,380.5,392,380.3,391.5,4917525
